timestamps,open,high,low,close,volume,amount
2025/7/18 15:00,6.148,6.183,6.135,6.165,1608246.39,990926.837
2025/7/21 15:00,6.171,6.228,6.17,6.226,2550110.21,1584067.722
2025/7/22 15:00,6.229,6.295,6.218,6.292,2237787.42,1399576.972
2025/7/23 15:00,6.295,6.334,6.258,6.27,2803027.29,1765155.846
2025/7/24 15:00,6.258,6.368,6.257,6.363,2070370.47,1309140.764
2025/7/25 15:00,6.367,6.377,6.339,6.365,3175692.11,2019458.361
2025/7/28 15:00,6.365,6.403,6.336,6.391,2017572.14,1286667.623
2025/7/29 15:00,6.375,6.432,6.335,6.431,2131929.47,1358964.395
2025/7/30 15:00,6.408,6.441,6.34,6.389,1889246.25,1210134.625
2025/7/31 15:00,6.362,6.389,6.273,6.297,1986009.24,1258229.121
2025/8/1 15:00,6.28,6.328,6.25,6.287,1581955.98,995403.322
2025/8/4 15:00,6.259,6.336,6.252,6.335,1043706.75,657137.127
2025/8/5 15:00,6.338,6.378,6.338,6.376,1206724.84,766954.45
2025/8/6 15:00,6.346,6.434,6.346,6.428,1719765.1,1102525.817
2025/8/7 15:00,6.428,6.443,6.366,6.408,1617283.79,1035267.177
2025/8/8 15:00,6.379,6.422,6.375,6.397,1036035.18,662662.808
2025/8/11 15:00,6.403,6.484,6.403,6.464,1672287.75,1079316.755
2025/8/12 15:00,6.466,6.498,6.439,6.497,1065317.98,689378.657
2025/8/13 15:00,6.506,6.596,6.5,6.582,1792705.42,1174102.338
2025/8/14 15:00,6.561,6.597,6.489,6.514,2238969.12,1465281.352
2025/8/15 15:00,6.501,6.663,6.494,6.658,2291167.02,1514607.5
2025/8/18 15:00,6.688,6.801,6.658,6.748,4186833.46,2824740.779
2025/8/19 15:00,6.748,6.786,6.711,6.733,3147654.92,2123688.222
2025/8/20 15:00,6.714,6.826,6.667,6.824,3376600.21,2280535.527
2025/8/21 15:00,6.836,6.856,6.759,6.786,2983305.96,2028278.817
2025/8/22 15:00,6.785,6.921,6.785,6.915,8437785.01,5802812.523
2025/8/25 15:00,6.962,7.065,6.944,7.037,8814867.74,6170751.765
2025/8/26 15:00,7.01,7.102,6.995,7.048,4988464.23,3516687.986
